,title,views,day
0,En_Vogue,9514,2021-01-01
1,The_KLF,7878,2021-01-01
2,SB19,6853,2021-01-01
3,Bee_Gees,4395,2021-01-01
4,Squeeze_(band),4356,2021-01-01
5,The_Beatles,4127,2021-01-01
6,Jamiroquai,4009,2021-01-01
7,ABBA,3755,2021-01-01
8,Goo_Goo_Dolls,3687,2021-01-01
9,Fleetwood_Mac,3417,2021-01-01
10,Queen_(band),3389,2021-01-01
11,Eagles_(band),3338,2021-01-01
12,Deacon_Blue,3228,2021-01-01
13,Pink_Floyd,2689,2021-01-01
14,AC/DC,2624,2021-01-01
15,Black_Eyed_Peas,2529,2021-01-01
16,Led_Zeppelin,2424,2021-01-01
17,The_Rolling_Stones,2391,2021-01-01
18,Franz_Ferdinand_(band),2252,2021-01-01
19,Kiss_(band),2215,2021-01-01
20,The_Go-Go's,2099,2021-01-01
21,Coldplay,2074,2021-01-01
22,The_Beach_Boys,2012,2021-01-01
23,ABC_(band),1926,2021-01-01
24,Berlin_(band),1877,2021-01-01
25,Pentatonix,1868,2021-01-01
26,Linkin_Park,1758,2021-01-01
27,SM_Town,1694,2021-01-01
28,Red_Hot_Chili_Peppers,1668,2021-01-01
29,Wu-Tang_Clan,1659,2021-01-01
30,Beastie_Boys,1642,2021-01-01
31,U2,1633,2021-01-01
32,Foo_Fighters,1597,2021-01-01
33,Bon_Jovi,1552,2021-01-01
34,Green_Day,1551,2021-01-01
35,Aerosmith,1546,2021-01-01
36,Deep_Purple,1510,2021-01-01
37,Boney_M.,1494,2021-01-01
38,Rush_(band),1490,2021-01-01
39,AJR_(band),1460,2021-01-01
40,Guns_N'_Roses,1440,2021-01-01
41,Nirvana_(band),1421,2021-01-01
42,Van_Halen,1361,2021-01-01
43,Ramones,1333,2021-01-01
44,The_Cranberries,1258,2021-01-01
45,Lynyrd_Skynyrd,1249,2021-01-01
46,Oasis_(band),1224,2021-01-01
47,Depeche_Mode,1211,2021-01-01
48,The_Band,1207,2021-01-01
49,The_Who,1200,2021-01-01
50,Genesis_(band),1200,2021-01-01
51,3rd_Bass,1199,2021-01-01
52,SuperM,1192,2021-01-01
53,Journey_(band),1169,2021-01-01
54,Babymetal,1169,2021-01-01
55,Radiohead,1166,2021-01-01
56,Yes_(band),1162,2021-01-01
57,Village_People,1145,2021-01-01
58,Creedence_Clearwater_Revival,1128,2021-01-01
59,System_of_a_Down,1115,2021-01-01
60,AOA_(group),1108,2021-01-01
61,Papa_Roach,1105,2021-01-01
62,Nightwish,1104,2021-01-01
63,The_Bangles,1096,2021-01-01
64,JJ_Doom,1075,2021-01-01
65,Toto_(band),1074,2021-01-01
66,Slipknot_(band),1057,2021-01-01
67,Tool_(band),1055,2021-01-01
68,Evanescence,1046,2021-01-01
69,Traveling_Wilburys,1035,2021-01-01
70,Nine_Inch_Nails,1030,2021-01-01
71,Talking_Heads,1008,2021-01-01
72,Plush_Mush,1007,2021-01-01
73,Rammstein,1005,2021-01-01
74,The_Cure,997,2021-01-01
75,Electric_Light_Orchestra,991,2021-01-01
76,Blink-182,988,2021-01-01
77,New_Order_(band),979,2021-01-01
78,Heart_(band),973,2021-01-01
79,The_Police,972,2021-01-01
80,Alice_in_Chains,969,2021-01-01
81,Blondie_(band),969,2021-01-01
82,Buffalo_Springfield,959,2021-01-01
83,ZZ_Top,956,2021-01-01
84,Steely_Dan,945,2021-01-01
85,R.E.M.,938,2021-01-01
86,The_Smashing_Pumpkins,925,2021-01-01
87,Arctic_Monkeys,924,2021-01-01
88,Rage_Against_the_Machine,917,2021-01-01
89,Gugudan,914,2021-01-01
90,Joy_Division,914,2021-01-01
91,Haim_(band),910,2021-01-01
92,King_Crimson,908,2021-01-01
93,Pearl_Jam,899,2021-01-01
94,Cream_(band),891,2021-01-01
95,Jools_Holland's_Rhythm_and_Blues_Orchestra,888,2021-01-01
96,Grateful_Dead,882,2021-01-01
97,The_Doors,879,2021-01-01
98,The_Killers,873,2021-01-01
99,Dire_Straits,869,2021-01-01
100,Scorpions_(band),866,2021-01-01
101,Jonas_Brothers,854,2021-01-01
102,Quasimoto,849,2021-01-01
103,Rascal_Flatts,846,2021-01-01
104,Maroon_5,845,2021-01-01
105,The_Lennon_Sisters,841,2021-01-01
106,The_Monkees,837,2021-01-01
107,Sex_Pistols,820,2021-01-01
108,Bon_Iver,818,2021-01-01
109,Def_Leppard,814,2021-01-01
110,The_B-52's,802,2021-01-01
111,Motörhead,797,2021-01-01
112,Duran_Duran,797,2021-01-01
113,N.W.A,797,2021-01-01
114,Lady_A,783,2021-01-01
115,Bananarama,782,2021-01-01
116,The_Velvet_Underground,780,2021-01-01
117,Destiny's_Child,779,2021-01-01
118,Chicago_(band),778,2021-01-01
119,Rudimental,777,2021-01-01
120,Muse_(band),771,2021-01-01
121,The_Strokes,768,2021-01-01
122,Imagine_Dragons,767,2021-01-01
123,Bring_Me_the_Horizon,767,2021-01-01
124,The_Kinks,761,2021-01-01
125,The_Allman_Brothers_Band,758,2021-01-01
126,My_Chemical_Romance,756,2021-01-01
127,Khruangbin,747,2021-01-01
128,WayV,745,2021-01-01
129,Twisted_Sister,740,2021-01-01
130,Panic!_at_the_Disco,740,2021-01-01
131,Arashi,729,2021-01-01
132,Outkast,725,2021-01-01
133,The_Prodigy,725,2021-01-01
134,The_Clash,725,2021-01-01
135,Tame_Impala,721,2021-01-01
136,Pantera,712,2021-01-01
137,No_Doubt,710,2021-01-01
138,Twenty_One_Pilots,710,2021-01-01
139,Fun_(band),709,2021-01-01
140,Mountain_(band),700,2021-01-01
141,Weezer,700,2021-01-01
142,Jethro_Tull_(band),697,2021-01-01
143,A-ha,695,2021-01-01
144,Kraftwerk,692,2021-01-01
145,Sabaton_(band),692,2021-01-01
146,Limp_Bizkit,691,2021-01-01
147,The_White_Stripes,686,2021-01-01
148,The_Animals,685,2021-01-01
149,Korn,682,2021-01-01
150,Paramore,682,2021-01-01
151,The_Smiths,678,2021-01-01
152,The_Jackson_5,676,2021-01-01
153,Supertramp,669,2021-01-01
154,Nickelback,669,2021-01-01
155,Fall_Out_Boy,669,2021-01-01
156,The_Offspring,669,2021-01-01
157,Blue_Öyster_Cult,668,2021-01-01
158,Jefferson_Airplane,664,2021-01-01
159,Styx_(band),658,2021-01-01
160,The_Avalanches,656,2021-01-01
161,New_Kids_on_the_Block,650,2021-01-01
162,"Earth,_Wind_&_Fire",648,2021-01-01
163,The_Sweet,648,2021-01-01
164,The_Feeling,647,2021-01-01
165,The_Byrds,639,2021-01-01
166,Soundgarden,635,2021-01-01
167,The_Pretty_Reckless,634,2021-01-01
168,Alabama_(band),629,2021-01-01
169,Die_Antwoord,629,2021-01-01
170,Dream_Theater,628,2021-01-01
171,GFriend,626,2021-01-01
172,Counting_Crows,622,2021-01-01
173,A_Tribe_Called_Quest,622,2021-01-01
174,The_Avett_Brothers,620,2021-01-01
175,Rat_Pack,619,2021-01-01
176,Pink_Martini,618,2021-01-01
177,Foreigner_(band),617,2021-01-01
178,INXS,615,2021-01-01
179,The_Doobie_Brothers,612,2021-01-01
180,Spandau_Ballet,611,2021-01-01
181,The_Moody_Blues,610,2021-01-01
182,The_Pogues,609,2021-01-01
183,Whitesnake,603,2021-01-01
184,Steps_(pop_group),600,2021-01-01
185,The_1975,600,2021-01-01
186,The_Chicks,595,2021-01-01
187,De_La_Soul,589,2021-01-01
188,Avenged_Sevenfold,588,2021-01-01
189,MGMT,588,2021-01-01
190,Queens_of_the_Stone_Age,587,2021-01-01
191,4_Non_Blondes,585,2021-01-01
192,The_Swallows,583,2021-01-01
193,Blur_(band),582,2021-01-01
194,Uriah_Heep_(band),579,2021-01-01
195,Kings_of_Leon,573,2021-01-01
196,Three_Dog_Night,571,2021-01-01
197,Pixies_(band),571,2021-01-01
198,The_Pussycat_Dolls,569,2021-01-01
199,The_Four_Seasons_(band),563,2021-01-01
200,Greta_Van_Fleet,562,2021-01-01
201,The_Runaways,560,2021-01-01
202,Boston_(band),558,2021-01-01
203,Ace_of_Base,557,2021-01-01
204,Thin_Lizzy,557,2021-01-01
205,Odd_Future,556,2021-01-01
